filepath,label
train\all_coins\bdddd66dc5.jpg,all_coins
train\all_coins\1e5109de3a.jpg,all_coins
train\all_coins\e036bb9f36.jpg,all_coins
train\all_coins\b22b3d9c4e.jpg,all_coins
train\all_coins\4c0fee8a9c.jpg,all_coins
train\china_coins\3860162c9e.jpg,china_coins
train\china_coins\c369861356.jpg,china_coins
train\china_coins\12582fe8f1.jpg,china_coins
train\china_coins\d2826b0621.jpg,china_coins
train\china_coins\a9565e78a0.jpg,china_coins
train\china_coins\b060c5f004.jpg,china_coins
train\china_coins\0ee766febf.jpg,china_coins
train\china_coins\e65a8ba771.jpg,china_coins
train\china_coins\4ea723e6ff.jpg,china_coins
train\china_coins\32902465b4.jpg,china_coins
train\china_coins\8f490a1cb2.jpg,china_coins
train\china_coins\485ea6d538.jpg,china_coins
train\china_coins\6b8c2b21c0.jpg,china_coins
train\china_coins\61bba65828.jpg,china_coins
train\china_coins\f8b98b3770.jpg,china_coins
train\china_coins\292ab178e0.jpg,china_coins
train\china_coins\38427303fa.jpg,china_coins
train\china_coins\cf5e1b646f.jpg,china_coins
train\china_coins\af5d14b25e.jpg,china_coins
train\china_coins\7bfa2573b2.jpg,china_coins
train\china_coins\063bece950.jpg,china_coins
train\china_coins\8a150b4bb6.jpg,china_coins
train\china_coins\e8e593aaf7.jpg,china_coins
train\china_coins\ad447361a9.jpg,china_coins
train\china_coins\a4c0e40756.jpg,china_coins
train\china_coins\e06fa59b89.jpg,china_coins
train\china_coins\c676cf0fbd.jpg,china_coins
train\china_coins\1da0bb4e1c.jpg,china_coins
train\china_coins\d22d3b86fb.jpg,china_coins
train\china_coins\df7dd61872.jpg,china_coins
train\china_coins\f8acdd9a70.jpg,china_coins
train\china_coins\fa9c3936ca.jpg,china_coins
train\china_coins\43a864822a.jpg,china_coins
train\china_coins\f3648f78ff.jpg,china_coins
train\china_coins\68e8937afd.jpg,china_coins
train\china_coins\cbc82699fb.jpg,china_coins
train\china_coins\b341aa5276.jpg,china_coins
train\china_coins\b878cfb624.jpg,china_coins
train\china_coins\4ac89e7716.jpg,china_coins
train\china_coins\dce60ddc91.jpg,china_coins
train\china_coins\3c07d2187c.jpg,china_coins
train\china_coins\ceee6d3d6b.jpg,china_coins
train\china_coins\b63e7b4535.jpg,china_coins
train\china_coins\f17fb74818.jpg,china_coins
train\china_coins\6f58f116fe.jpg,china_coins
train\china_coins\3636f26c6e.jpg,china_coins
train\china_coins\351727081d.jpg,china_coins
train\china_coins\a6453129da.jpg,china_coins
train\china_coins\388d452d4d.jpg,china_coins
train\china_coins\d65f9cda42.jpg,china_coins
train\china_coins\2773217ea5.jpg,china_coins
train\china_coins\6df4492ed9.jpg,china_coins
train\china_coins\f1ea00e156.jpg,china_coins
train\china_coins\82ace919e3.jpg,china_coins
train\china_coins\ad4356b692.jpg,china_coins
train\china_coins\ca2e2cbe03.jpg,china_coins
train\china_coins\1eff34a51a.jpg,china_coins
train\china_coins\d06b667677.jpg,china_coins
train\china_coins\5d77678548.jpg,china_coins
train\china_coins\2ed1c4e5ab.jpg,china_coins
train\china_coins\e078be6624.jpg,china_coins
train\china_coins\30824c01c0.jpg,china_coins
train\china_coins\06da1e60cc.jpg,china_coins
train\china_coins\c6e4d2fe2a.jpg,china_coins
train\china_coins\59d46de1dc.jpg,china_coins
train\china_coins\f687c34368.jpg,china_coins
train\china_coins\0d0ac3a88a.jpg,china_coins
train\china_coins\6b8399d4e5.jpg,china_coins
train\china_coins\f40e58aa3d.jpg,china_coins
train\china_coins\33f92a7c9a.jpg,china_coins
train\china_coins\fff51a7712.jpg,china_coins
train\china_coins\3e8ad3f0ec.jpg,china_coins
train\china_coins\7867fe26a2.jpg,china_coins
train\china_coins\db15b2c8d8.jpg,china_coins
train\china_coins\68af551064.jpg,china_coins
train\china_coins\2413c6b7c1.jpg,china_coins
train\china_coins\ed913853c6.jpg,china_coins
train\china_coins\9ca0f7f4e0.jpg,china_coins
train\china_coins\5894b2ca14.jpg,china_coins
train\china_coins\7d4847e142.jpg,china_coins
train\china_coins\7f19658cb5.jpg,china_coins
train\china_coins\4740a8da05.jpg,china_coins
train\china_coins\b548346734.jpg,china_coins
train\china_coins\6a5cbbe466.jpg,china_coins
train\china_coins\fc9f88fcae.jpg,china_coins
train\china_coins\a0d4e8c1e9.jpg,china_coins
train\china_coins\bdbe11a5e4.jpg,china_coins
train\china_coins\2e9f5856fe.jpg,china_coins
train\china_coins\5e0d26b26a.jpg,china_coins
train\china_coins\b72e5fc7c9.jpg,china_coins
train\china_coins\41c06915ee.jpg,china_coins
train\china_coins\2c1e478f4f.jpg,china_coins
train\china_coins\d5dafe49a4.jpg,china_coins
train\china_coins\ce20bfdf54.jpg,china_coins
train\china_coins\64fd5f818e.jpg,china_coins
train\china_coins\f2595d8215.jpg,china_coins
train\china_coins\c09fcda175.jpg,china_coins
train\china_coins\0e718de582.jpg,china_coins
train\china_coins\57e8cf92e6.jpg,china_coins
train\china_coins\9aa6ef2960.jpg,china_coins
train\china_coins\1b53e51ae8.jpg,china_coins
train\china_coins\b098debff0.jpg,china_coins
train\china_coins\57c436585d.jpg,china_coins
train\china_coins\4edb61a2ec.jpg,china_coins
train\china_coins\a27ca1645f.jpg,china_coins
train\china_coins\0871f059de.jpg,china_coins
train\china_coins\9f6f222c39.jpg,china_coins
train\china_coins\35725ca007.jpg,china_coins
train\china_coins\821697aab4.jpg,china_coins
train\china_coins\c8449b8233.jpg,china_coins
train\china_coins\5c7495d3ca.jpg,china_coins
train\china_coins\8177a8bbbc.jpg,china_coins
train\china_coins\5fa89151aa.jpg,china_coins
train\china_coins\08d2b6eda9.jpg,china_coins
train\china_coins\f47ea6bddc.jpg,china_coins
train\china_coins\332dd30533.jpg,china_coins
train\china_coins\e1c229607f.jpg,china_coins
train\china_coins\c8d78bfbf8.jpg,china_coins
train\china_coins\e7355ec38d.jpg,china_coins
train\china_coins\7ea2d9c5ee.jpg,china_coins
train\china_coins\f258182de9.jpg,china_coins
train\china_coins\cb18e4d40f.jpg,china_coins
train\china_coins\8c4e113edf.jpg,china_coins
train\china_coins\800af58787.jpg,china_coins
train\china_coins\aaeb6a019c.jpg,china_coins
train\china_coins\7dc2f1ef79.jpg,china_coins
train\china_coins\b8ecfd72d9.jpg,china_coins
train\china_coins\5e4d27082b.jpg,china_coins
train\china_coins\a5c303f31d.jpg,china_coins
train\china_coins\58c221aed6.jpg,china_coins
train\china_coins\8b85da2bab.jpg,china_coins
train\china_coins\02e699f79d.jpg,china_coins
train\china_coins\8727a19438.jpg,china_coins
train\china_coins\e8bc6cdd77.jpg,china_coins
train\china_coins\d6fc31e378.jpg,china_coins
train\china_coins\93eebadc76.jpg,china_coins
train\china_coins\ee3474e6bf.jpg,china_coins
train\china_coins\ad17e4b2ab.jpg,china_coins
train\china_coins\eeddd06ffd.jpg,china_coins
train\china_coins\e5214c6883.jpg,china_coins
train\china_coins\366afbecee.jpg,china_coins
train\china_coins\f14b57029f.jpg,china_coins
train\china_coins\208133d902.jpg,china_coins
train\china_coins\0652e0440f.jpg,china_coins
train\china_coins\ee12218dbf.jpg,china_coins
train\china_coins\1175dc22b9.jpg,china_coins
train\china_coins\d9680d927b.jpg,china_coins
train\euro_coins\a36be81d4b.jpg,euro_coins
train\euro_coins\48e4da63c8.jpg,euro_coins
train\euro_coins\e5e9ac7e37.jpg,euro_coins
train\euro_coins\4b5ac94af2.jpg,euro_coins
train\euro_coins\740ead22ad.jpg,euro_coins
train\euro_coins\0a3ee5dced.jpg,euro_coins
train\euro_coins\87616b0677.jpg,euro_coins
train\euro_coins\47808cb23d.jpg,euro_coins
train\euro_coins\1589adc838.jpg,euro_coins
train\euro_coins\9886144124.jpg,euro_coins
train\euro_coins\016bad69c2.jpg,euro_coins
train\euro_coins\0fb0786654.jpg,euro_coins
train\euro_coins\0af89feef6.jpg,euro_coins
train\euro_coins\5900a5dd22.jpg,euro_coins
train\euro_coins\026b6bf6ed.jpg,euro_coins
train\euro_coins\f3c81d3d71.jpg,euro_coins
train\euro_coins\81df542fcf.jpg,euro_coins
train\euro_coins\01cf2502d5.jpg,euro_coins
train\euro_coins\3e5f22cfa7.jpg,euro_coins
train\euro_coins\82abf4f0cf.jpg,euro_coins
train\euro_coins\66bbd666dc.jpg,euro_coins
train\euro_coins\dbc661538d.jpg,euro_coins
train\euro_coins\2fadfde717.jpg,euro_coins
train\euro_coins\8f8a4cc0e0.jpg,euro_coins
train\euro_coins\9318896c0e.jpg,euro_coins
train\euro_coins\b3f185cadd.jpg,euro_coins
train\euro_coins\984bf7c337.jpg,euro_coins
train\euro_coins\df18c3f97a.jpg,euro_coins
train\euro_coins\bb0bdcd84d.jpg,euro_coins
train\euro_coins\514aa4b868.jpg,euro_coins
train\euro_coins\2e42a8a028.jpg,euro_coins
train\euro_coins\2712332a36.jpg,euro_coins
train\euro_coins\d1fc6b23e9.jpg,euro_coins
train\euro_coins\91c23b8603.jpg,euro_coins
train\euro_coins\9153613467.jpg,euro_coins
train\euro_coins\557dc9082e.jpg,euro_coins
train\euro_coins\f7b6272497.jpg,euro_coins
train\euro_coins\cdb414f9d4.jpg,euro_coins
train\euro_coins\104375946f.jpg,euro_coins
train\euro_coins\7d87a3263f.jpg,euro_coins
train\euro_coins\35a1c45ae0.jpg,euro_coins
train\euro_coins\ff958ed226.jpg,euro_coins
train\euro_coins\3cef209534.jpg,euro_coins
train\euro_coins\048646a4b1.jpg,euro_coins
train\euro_coins\ef0b785d09.jpg,euro_coins
train\euro_coins\bc4a18ff1f.jpg,euro_coins
train\euro_coins\0d51d01a3a.jpg,euro_coins
train\euro_coins\27458f671e.jpg,euro_coins
train\euro_coins\979972ef4b.jpg,euro_coins
train\euro_coins\fb8593d04c.jpg,euro_coins
train\euro_coins\26d34d1fe4.jpg,euro_coins
train\euro_coins\2f1a258c63.jpg,euro_coins
train\euro_coins\bbcf703dd5.jpg,euro_coins
train\euro_coins\625ce723b7.jpg,euro_coins
train\euro_coins\0bececd88b.jpg,euro_coins
train\euro_coins\fc21d36337.jpg,euro_coins
train\euro_coins\b949c3fb90.jpg,euro_coins
train\euro_coins\caacb13741.jpg,euro_coins
train\euro_coins\70eb01116a.jpg,euro_coins
train\euro_coins\e5913fa2ea.jpg,euro_coins
train\euro_coins\969f9d387e.jpg,euro_coins
train\euro_coins\8a563f72c9.jpg,euro_coins
train\euro_coins\cb3e4b105c.jpg,euro_coins
train\euro_coins\7e1cb4e9f7.jpg,euro_coins
train\euro_coins\76f525973a.jpg,euro_coins
train\euro_coins\c0bd7b83a4.jpg,euro_coins
train\euro_coins\eba230ec7a.jpg,euro_coins
train\euro_coins\dc9f28d4dc.jpg,euro_coins
train\euro_coins\c7211edf6c.jpg,euro_coins
train\euro_coins\8de3e31598.jpg,euro_coins
train\euro_coins\8b1c21c16d.jpg,euro_coins
train\euro_coins\da11147310.jpg,euro_coins
train\euro_coins\b8dc6fd870.jpg,euro_coins
train\euro_coins\6e1ffaa89f.jpg,euro_coins
train\euro_coins\fb74b7a7d6.jpg,euro_coins
train\euro_coins\03b9ef036d.jpg,euro_coins
train\euro_coins\023a9c7804.jpg,euro_coins
train\euro_coins\0e30187668.jpg,euro_coins
train\euro_coins\17879eacc8.jpg,euro_coins
train\euro_coins\1ee845b9ba.jpg,euro_coins
train\euro_coins\e546757803.jpg,euro_coins
train\euro_coins\20ebfe0b4b.jpg,euro_coins
train\euro_coins\ab19a4320a.jpg,euro_coins
train\euro_coins\2df30cff89.jpg,euro_coins
train\euro_coins\b11e29c167.jpg,euro_coins
train\euro_coins\6244ebd2a6.jpg,euro_coins
train\euro_coins\ed1f1c3d14.jpg,euro_coins
train\euro_coins\9ccd8109eb.jpg,euro_coins
train\euro_coins\7ebe8e9cf1.jpg,euro_coins
train\euro_coins\f4f9c6fcb5.jpg,euro_coins
train\euro_coins\984c5c1d65.jpg,euro_coins
train\euro_coins\106a4659be.jpg,euro_coins
train\euro_coins\f627dbdd5e.jpg,euro_coins
train\euro_coins\abc8d5a860.jpg,euro_coins
train\euro_coins\b62375858b.jpg,euro_coins
train\euro_coins\895ca34285.jpg,euro_coins
train\euro_coins\d5381d6c9c.jpg,euro_coins
train\euro_coins\cffb6c6a2a.jpg,euro_coins
train\euro_coins\44d7a5a16f.jpg,euro_coins
train\euro_coins\e3558ac6c5.jpg,euro_coins
train\euro_coins\94ab346047.jpg,euro_coins
train\euro_coins\5bdac203cf.jpg,euro_coins
train\euro_coins\56063bf99f.jpg,euro_coins
train\euro_coins\74b386424e.jpg,euro_coins
train\euro_coins\3f32a19322.jpg,euro_coins
train\euro_coins\ee28731997.jpg,euro_coins
train\euro_coins\274b6c1544.jpg,euro_coins
train\euro_coins\81781e538c.jpg,euro_coins
train\euro_coins\a6fae6992c.jpg,euro_coins
train\euro_coins\7cd846ace8.jpg,euro_coins
train\euro_coins\9012e0cfab.jpg,euro_coins
train\euro_coins\cea64212c1.jpg,euro_coins
train\euro_coins\295da09780.jpg,euro_coins
train\euro_coins\5489ec1fb5.jpg,euro_coins
train\euro_coins\cd01890f6d.jpg,euro_coins
train\euro_coins\11670a5c4e.jpg,euro_coins
train\euro_coins\82cf6b4cc7.jpg,euro_coins
train\euro_coins\704ddd18c6.jpg,euro_coins
train\euro_coins\669b6b8221.jpg,euro_coins
train\euro_coins\ae2f8ba972.jpg,euro_coins
train\euro_coins\df63632db9.jpg,euro_coins
train\euro_coins\f374b15248.jpg,euro_coins
train\euro_coins\174dd15a12.jpg,euro_coins
train\euro_coins\0dc711d21f.jpg,euro_coins
train\euro_coins\5346a5a991.jpg,euro_coins
train\euro_coins\f9eb85647d.jpg,euro_coins
train\euro_coins\c3be73016e.jpg,euro_coins
train\euro_coins\7a5389d5f6.jpg,euro_coins
train\euro_coins\6511355229.jpg,euro_coins
train\euro_coins\eb66218305.jpg,euro_coins
train\euro_coins\61236109ef.jpg,euro_coins
train\euro_coins\953f946a75.jpg,euro_coins
train\euro_coins\59cd7eac39.jpg,euro_coins
train\euro_coins\21284b053f.jpg,euro_coins
train\euro_coins\b54ce1f3de.jpg,euro_coins
train\euro_coins\c9b204ae4f.jpg,euro_coins
train\euro_coins\defe0c372f.jpg,euro_coins
train\euro_coins\f8c8e2d9aa.jpg,euro_coins
train\euro_coins\f63b6856e5.jpg,euro_coins
train\euro_coins\38f5053be4.jpg,euro_coins
train\euro_coins\c086d0fe16.jpg,euro_coins
train\euro_coins\984512355e.jpg,euro_coins
train\euro_coins\0017c3b0e6.jpg,euro_coins
train\euro_coins\b16d25d0f8.jpg,euro_coins
train\euro_coins\0a030b6c5a.jpg,euro_coins
train\euro_coins\4dc75f545a.jpg,euro_coins
train\euro_coins\37abd5b122.jpg,euro_coins
train\euro_coins\aeac0ceaf6.jpg,euro_coins
train\euro_coins\73c5a8a67e.jpg,euro_coins
train\euro_coins\bc0855f439.jpg,euro_coins
train\euro_coins\c25be2222d.jpg,euro_coins
train\euro_coins\b487770510.jpg,euro_coins
train\euro_coins\617ce75a74.jpg,euro_coins
train\euro_coins\67a2b8babd.jpg,euro_coins
train\euro_coins\8110882838.jpg,euro_coins
train\euro_coins\b3939358e4.jpg,euro_coins
train\euro_coins\dde120d0f3.jpg,euro_coins
train\euro_coins\d22531cbc0.jpg,euro_coins
train\euro_coins\4dfdb85e6c.jpg,euro_coins
train\euro_coins\aee6c8e699.jpg,euro_coins
train\euro_coins\e29dbcfa9a.jpg,euro_coins
train\indian_coins\10ceb841f5.jpg,indian_coins
train\indian_coins\a2a8bf1d72.jpg,indian_coins
train\indian_coins\988e13d62f.jpg,indian_coins
train\indian_coins\a4af3947fc.jpg,indian_coins
train\indian_coins\96ef4a2baf.jpg,indian_coins
train\indian_coins\982f3231be.jpg,indian_coins
train\indian_coins\9c0b6f75fe.jpg,indian_coins
train\indian_coins\e0ddbd63db.jpg,indian_coins
train\indian_coins\a879e697d1.jpg,indian_coins
train\indian_coins\15e76610ee.jpg,indian_coins
train\indian_coins\e099af3e16.jpg,indian_coins
train\indian_coins\b2ff113277.jpg,indian_coins
train\indian_coins\e700c21c92.jpg,indian_coins
train\indian_coins\b172dc4655.jpg,indian_coins
train\indian_coins\be274debd7.jpg,indian_coins
train\indian_coins\63f9036b39.jpg,indian_coins
train\indian_coins\3d4737e9b4.jpg,indian_coins
train\indian_coins\3775ab6b91.jpg,indian_coins
train\indian_coins\561c0108ca.jpg,indian_coins
train\indian_coins\6c631c45a6.jpg,indian_coins
train\indian_coins\1417562e39.jpg,indian_coins
train\indian_coins\8d4c55ac86.jpg,indian_coins
train\indian_coins\17969bea5f.jpg,indian_coins
train\indian_coins\232c8dcda3.jpg,indian_coins
train\indian_coins\887705c685.jpg,indian_coins
train\indian_coins\28740b882f.jpg,indian_coins
train\indian_coins\a31ee22c9d.jpg,indian_coins
train\indian_coins\86c2457cf4.jpg,indian_coins
train\indian_coins\0382b12586.jpg,indian_coins
train\indian_coins\4842b5f303.jpg,indian_coins
train\indian_coins\d5d11545c4.jpg,indian_coins
train\indian_coins\17da18bd61.jpg,indian_coins
train\indian_coins\70b921d69e.jpg,indian_coins
train\indian_coins\1a01d5b63d.jpg,indian_coins
train\indian_coins\66d423deb6.jpg,indian_coins
train\indian_coins\cf600fc42a.jpg,indian_coins
train\indian_coins\f8192fb98a.jpg,indian_coins
train\indian_coins\172397185b.jpg,indian_coins
train\indian_coins\8192dea1a3.jpg,indian_coins
train\indian_coins\75f86edf64.jpg,indian_coins
train\indian_coins\b7a84e20f6.jpg,indian_coins
train\indian_coins\1ea5f31105.jpg,indian_coins
train\indian_coins\021c3a3b47.jpg,indian_coins
train\indian_coins\96e18862f6.jpg,indian_coins
train\indian_coins\8874cf66b0.jpg,indian_coins
train\indian_coins\74bd09ba9c.jpg,indian_coins
train\indian_coins\804eb6542a.jpg,indian_coins
train\indian_coins\a57ec6c2ef.jpg,indian_coins
train\indian_coins\af6072b73e.jpg,indian_coins
train\indian_coins\136963fb7a.jpg,indian_coins
train\indian_coins\61c87eead2.jpg,indian_coins
train\indian_coins\b2d20bb7a7.jpg,indian_coins
train\indian_coins\d9eb2a060c.jpg,indian_coins
train\indian_coins\4fb267b918.jpg,indian_coins
train\indian_coins\d55b182038.jpg,indian_coins
train\indian_coins\72289e6488.jpg,indian_coins
train\indian_coins\ce2ceddbd7.jpg,indian_coins
train\indian_coins\8f5fcba1e0.jpg,indian_coins
train\indian_coins\bd73b9a957.jpg,indian_coins
train\indian_coins\162d62e024.jpg,indian_coins
train\indian_coins\97d1fda139.jpg,indian_coins
train\indian_coins\91e83a53ca.jpg,indian_coins
train\indian_coins\22cd8a3f7e.jpg,indian_coins
train\indian_coins\e58d420bba.jpg,indian_coins
train\indian_coins\f4869667c1.jpg,indian_coins
train\indian_coins\d14e3c74d8.jpg,indian_coins
train\indian_coins\20b841ebbb.jpg,indian_coins
train\indian_coins\0e9ef4cff8.jpg,indian_coins
train\indian_coins\8458667db4.jpg,indian_coins
train\indian_coins\2993f8fbec.jpg,indian_coins
train\indian_coins\bc9f23081e.jpg,indian_coins
train\indian_coins\630daf0421.jpg,indian_coins
train\indian_coins\459f0a2d6e.jpg,indian_coins
train\indian_coins\c45fe65ea2.jpg,indian_coins
train\indian_coins\980bc77535.jpg,indian_coins
train\indian_coins\bc0d47a86c.jpg,indian_coins
train\indian_coins\b75b26403f.jpg,indian_coins
train\indian_coins\1594ea1ed8.jpg,indian_coins
train\indian_coins\85db729dc0.jpg,indian_coins
train\indian_coins\1480327083.jpg,indian_coins
train\indian_coins\452ab80e21.jpg,indian_coins
train\indian_coins\b7cd0d607c.jpg,indian_coins
train\indian_coins\99c4a4e23f.jpg,indian_coins
train\indian_coins\95d8ad5e52.jpg,indian_coins
train\indian_coins\49e2aa77e1.jpg,indian_coins
train\indian_coins\414caf879b.jpg,indian_coins
train\indian_coins\e71f45171e.jpg,indian_coins
train\indian_coins\2d1f1f8877.jpg,indian_coins
train\indian_coins\66f5173202.jpg,indian_coins
train\indian_coins\beda23e801.jpg,indian_coins
train\indian_coins\0ade544ba4.jpg,indian_coins
train\indian_coins\3a3d630d6a.jpg,indian_coins
train\indian_coins\fb5d96bbe4.jpg,indian_coins
train\indian_coins\b402eb5236.jpg,indian_coins
train\indian_coins\50797d435f.jpg,indian_coins
train\indian_coins\34e17c641a.jpg,indian_coins
train\indian_coins\ee751a88fd.jpg,indian_coins
train\indian_coins\57ced878ff.jpg,indian_coins
train\indian_coins\f88bad54b1.jpg,indian_coins
train\indian_coins\e5fc4d83a1.jpg,indian_coins
train\indian_coins\6da8539078.jpg,indian_coins
train\indian_coins\25b604700f.jpg,indian_coins
train\indian_coins\76b061ea7b.jpg,indian_coins
train\indian_coins\a59230ef5b.jpg,indian_coins
train\indian_coins\9afbc406cb.jpg,indian_coins
train\indian_coins\1a7b932da6.jpg,indian_coins
train\indian_coins\6447c89e59.jpg,indian_coins
